MW_API,melting.point_API,XLogP3_API,Hydrogen.Bond.Donor.Count_API,Hydrogen.Bond.Acceptor.Count_API,Rotatable.Bond.Count_API,Topological.Polar.Surface.Area_API,Heavy.Atom.Count_API,Complexity_API,logS_API,logP_API,Pka,N.of.repeat.units_polymer,Monomer.Weight_polymer,Hydrogen.Bond.Donor.Count_polymer,Hydrogen.Bond.Acceptor.Count_polymer,Rotatable.Bond.Count_polymer,Complexity_polymer,Topological.Polar.Surface.Area_polymer,technich,Drug.loading.ratio,Dose.mg.,dissolution.method,surfactant,pH.1.2_simulated.gastric.fluid,pH.4.5_buffer.solution,pH.6.8_PBS,pH.6.5_FaSSIF,pH.6.8_SIF,water,pH.7.4_PBS,rotation.speed.rpm.,volume.ml,X5min,X15min,X30min,X60min
0.24785244,0.376666667,0.722772277,0.157894737,0.16,0.363636364,0.220209724,0.227272727,0.211819153,0.14,0.34392828,0.501403181,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.489795918,0.068947026,1,0,0,0,0,0,0,0,1,0.5,0.888888889,0.0092,0.0716,0.2038,0.3753
0.217536215,0.393333333,0.702970297,0.052631579,0.24,0.5,0.160915157,0.227272727,0.232823069,0.16,0.45802771,0,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.040816327,0.007660781,0,1,0,0,0,0,0,1,0,0,0.444444444,0.1263,0.6499,0.8534,0.9587
0.162325617,0.306666667,0.544554455,0.052631579,0.28,0.272727273,0.243088656,0.170454545,0.2249911,0.32,0.27791361,0.272684752,0.20042241,0.022376598,0.166666667,0.125,0.037037037,0.135597826,0.111329404,1,0.489795918,0.030643123,0,0,0,0,0,1,0,0,0,0,0,0.0631,0.1313,0.1505,0.1369
0.150776429,0.371523333,0.683168317,0.052631579,0.24,0.136363636,0.10600572,0.136363636,0.136703453,0.3482,0.329747351,0.67909261,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,1,0.387755102,0.758417283,0,0,0,1,0,0,0,0,0,0,1,0.1858,0.4561,0.5988,0.737
0.143444411,0.66,0.217821782,0.052631579,0.28,0.090909091,0.12735939,0.147727273,0.171947312,0.74,0.088834556,0.554256314,0.035682526,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.693877551,0.375378251,0,0,0,0,0,0,0,1,0,0.5,1,0.0043,0.0129,0.0226,0.0651
0.260818112,0.54,0.346534653,0.105263158,0.44,0.545454545,0.395614871,0.25,0.290850837,0.58,0.016299919,0.446679139,0,1,0.666666667,0.875,1,0.83423913,0.692206942,1,0.489795918,0.216076148,0,0,1,0,0,0,0,0,0,0.5,0.888888889,0.2986,0.7078,0.901,0.9981
0.491935725,0.233333333,0.524752475,0.157894737,0.44,0.318181818,0.326978074,0.5,0.473122108,0.16,0.295843521,0.765201123,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,1,0.15,0.011491171,0,0,0,1,0,0,0,0,0,0,0.888888889,0.1832,0.6836,0.8727,0.8586
0.260818112,0.54,0.346534653,0.105263158,0.44,0.545454545,0.395614871,0.25,0.290850837,0.58,0.016299919,0.446679139,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,1,0.489795918,0.216076148,0,0,1,0,0,0,0,0,0,0.5,0.888888889,0.2479,0.6345,0.8464,0.9848
0.101698679,0.163333333,0.574257426,0,0.04,0.227272727,0.065014299,0.113636364,0.084727661,0.56,0.264873676,0.539289055,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.030612245,0.216076148,1,0,0,0,0,0,0,0,1,0.5,1,0.1057,0.1851,0.5225,0.9654
0.014960875,0.073333333,0.396039604,0.105263158,0.12,0.227272727,0.099904671,0.011363636,0,1,0.097799511,0.936389149,0.145953757,0.277904144,0.166666667,0.375,0.148148148,0.418478261,0.283562541,0,0.183673469,0.183858735,0,0,1,0,0,0,0,0,0,0,0.888888889,0.01,0.0341,0.052,0.084
0.19775268,0.45,0.485148515,0.105263158,0.32,0.227272727,0.208770257,0.181818182,0.213243147,0.28,0.25590872,0.858278765,0.01289462,0.089689974,0,0.125,0,0.083423913,0.031434185,1,0.489795918,0.183858735,0,1,0,0,0,0,0,1,0,0,0.888888889,0.3248,0.4552,0.5115,0.5475
0.149034759,0.206666667,0.831683168,0,0.04,0.272727273,0,0.170454545,0.098967604,0.16,0.458842706,0.692235734,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,1,0.183673469,0.088098977,0,0,0,0,1,0,0,0,0,0.5,0.444444444,0.322,0.2682,0.2629,0.2638
0.236118219,0.343333333,0.782178218,0.052631579,0.16,0.272727273,0.165109628,0.181818182,0.103239587,0.08,0.513447433,0.615996258,0.009893286,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.795918367,0.183858735,0,0,0,0,0,0,0,0,1,0.5,0.444444444,0.0246,0.0465,0.0696,0.1055
0.022858227,0.02,0.554455446,0,0.08,0.181818182,0.040419447,0.022727273,0.018511926,0.58,0.280358598,0.67909261,0.017785683,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.12244898,0.337074348,0,0,0,0,0,0,0,1,0,0,0.888888889,0.4855,0.8874,0.9742,1
0.182338278,0.32,0.614554455,0.052631579,0.2,0.227272727,0.171210677,0.136363636,0.10751157,0.3482,0.329747351,0.522918616,0.007003112,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.081632653,0.145554832,1,0,0,0,1,0,0,0,0,0.5,0.888888889,0.0393,0.3475,0.6061,0.7926
0.137775325,0.313333333,0.683168317,0.105263158,0.16,0.318181818,0.131744519,0.113636364,0.09255963,0.18,0.433577832,0.519176801,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0.5,0.183673469,0.375378251,0,0,0,0,0,0,0,0,1,0,0.888888889,0.2041,0.5095,0.6829,0.8623
0.244637596,0.72,0.752475248,0.105263158,0.24,0.318181818,0.178265014,0.227272727,0.22748309,0,0.439282804,0.634705332,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,0.5,0.387755102,0.015321561,0,0,0,0,1,0,0,0,0,0.25,0.444444444,0.2068,0.4643,0.5745,0.6875
0.494998606,0.586666667,0.415841584,0.263157895,0.52,0.590909091,0.414680648,0.511363636,0.537201851,0.26,0.246943765,0.811973807,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,0.5,0.132653061,0.011491171,0,0,0,0,0,0,0,1,0,0.5,0.888888889,0.039,0.1936,0.5069,0.6079
0.149713475,0.406666667,0.534653465,0.052631579,0.28,0.227272727,0.153670162,0.136363636,0.117123532,0.58,0.267318663,0.712815716,0.057914629,0.10987033,0,0,0.037037037,0.309782609,0,1,0.15,0.030643123,1,0,0,0,0,0,0,0,1,0.5,0.888888889,0.7974,0.8771,0.8426,0.8426
0.119780701,0.473333333,0.564356436,0.105263158,0.2,0.090909091,0.193517636,0.113636364,0.163759345,0.54,0.215158924,0.521983162,0.029902179,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.183673469,0.030643123,0,0,1,0,0,0,0,0,0,0,0.444444444,0.9871,0.9908,1,1
0.058297888,0.866666667,0.356435644,0.157894737,0.24,0.045454545,0.235462345,0.068181818,0.055535778,0.74,0.134474328,0.589335828,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.030612245,0.068947026,1,0,1,0,0,0,0,0,0,0.5,1,0.0701,0.1816,0.2904,0.4034
0.104075758,0.886666667,0.405940594,0.105263158,0.12,0.136363636,0.153288847,0.090909091,0.099679601,0.484,0.255093725,0.489710009,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.071428571,0.068947026,0,0,0,0,0,0,0,0,1,0.5,0.888888889,0.9279,0.974,1,0.9918
0.123681347,0.78,0.514851485,0.105263158,0.2,0.090909091,0.165109628,0.136363636,0.161623354,0.48,0.161369193,0.481758653,0.007003112,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.489795918,0.375378251,0,0,0,0,0,0,0,0,1,0.1,0.666666667,0.3344,0.3538,0.4085,0.4136
0.218481063,0.846666667,1,0.105263158,0.08,0.045454545,0.097235462,0.352272727,0.261302955,0.06,0.572942135,0.521047708,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.107142857,0.107250929,0,1,0,0,0,0,0,1,0,0.5,0.888888889,0.6162,0.8112,0.9319,0.9852
0.131578699,0.39,0.524752475,0.052631579,0.24,0.227272727,0.197330791,0.136363636,0.162691349,0.36,0.238793806,0.548643592,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,1,0.795918367,0.030643123,1,1,1,0,0,0,0,0,0,0.5,0.888888889,0.1109,0.2216,0.3462,0.5142
0.150776429,0.371523333,0.683168317,0.052631579,0.24,0.136363636,0.10600572,0.136363636,0.136703453,0.3482,0.329747351,0.67909261,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,1,0.387755102,0.758417283,0,0,0,1,0,0,0,0,0,0,1,0.197,0.5506,0.7202,0.764
0.13557068,0.66,0.554455446,0.105263158,0.24,0.090909091,0.246901811,0.113636364,0.169811321,0.54,0.221678892,0.508419083,0.01300578,0.755498442,0,0.75,0.444444444,1,0.404715128,1,0.285714286,0.030643123,0,0,1,0,0,0,0,0,0,0,0.888888889,0.3453,0.4238,0.4858,0.5061
0.76853988,0.4,0.614554455,0.315789474,0.44,1,0.424213537,0.795454545,0.237095052,0.02,0.381418093,0.507951356,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,0.5,0.234693878,0.030643123,0,1,1,0,0,0,0,0,0,0,0.888888889,0.6389,0.8333,0.8758,0.8875
0.057520751,0.53,0.425742574,0.052631579,0.04,0,0.108484271,0.068181818,0.082235671,0.58,0.179299104,0.915809167,0.20042241,0.022376598,0.166666667,0.125,0.037037037,0.135597826,0.111329404,0.5,0.183673469,0.038303903,0,0,0,0,0,0,0,1,0,0.5,0.888888889,0.1265,0.2405,0.3574,0.5786
0.104890689,0.463333333,0.544554455,0.052631579,0.12,0.045454545,0.100285987,0.102272727,0.1000356,0.52,0.33007335,0.63797942,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.489795918,0.038303903,0,0,0,0,1,0,0,0,0,0,0.888888889,0.9793,1,1,1
0.067801481,0.51,0.544554455,0.105263158,0.12,0.227272727,0.163584366,0.056818182,0.049839801,0.4,0.298288509,0.744153414,0.002334371,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.020408163,0.068947026,1,0,1,0,0,0,0,0,0,0.5,1,0.7772,0.8527,0.9037,0.9444
0.033977509,0,0.663366337,0.052631579,0,0,0.026120114,0.034090909,0.060519758,0.34,0.377343113,0.67909261,0.01300578,0.755498442,0,0.75,0.444444444,1,0.404715128,0.5,0.071428571,0.183858735,1,0,0,0,1,0,0,0,0,0,0.444444444,0.2095,0.2323,0.2644,0.2625
0.064951191,0.503333333,0.772277228,0.105263158,0.08,0.136363636,0.081601525,0.056818182,0.052331791,0.38,0.41401793,0.480823199,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,1,0.107142857,0.088098977,0,0,0,0,0,0,0,0,1,0.5,0.888888889,0.2381,0.5746,0.7692,0.9458
0.178954935,0.193333333,0.673267327,0.157894737,0.16,0.454545455,0.131935176,0.193181818,0.127091492,0.22,0.284433578,0.664172123,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.081632653,0.088098977,0,0,0,0,1,0,0,0,0,0,0.166666667,7.00E-04,0.0492,0.1584,0.3374
0.13557068,0.66,0.554455446,0.105263158,0.24,0.090909091,0.246901811,0.113636364,0.169811321,0.54,0.221678892,0.508419083,0.20042241,0.022376598,0.166666667,0.125,0.037037037,0.135597826,0.111329404,1,0.285714286,0.030643123,0,0,1,0,0,0,0,0,0,0,0.888888889,0.5202,0.6113,0.5661,0.5944
0.29249413,0.371523333,0.920792079,0,0.2,0.590909091,0.136129647,0.295454545,0.23994304,0.3482,0.600651997,0.689429373,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.489795918,0.279618493,0,0,1,0,0,0,0,0,0,0.5,1,0.6883,0.7214,0.7673,0.8058
0.186888506,0.26,0.544554455,0,0.16,0.090909091,0.151000953,0.181818182,0.23745105,0.16,0.288508557,0.070159027,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.489795918,0.145554832,1,0,1,0,0,0,0,0,0,0.25,1,0.0436,0.1379,0.2344,0.3355
0.113308494,0.383333333,0.366336634,0.157894737,0.16,0.227272727,0.20686368,0.079545455,0.067995728,0.66,0.129584352,0.556594949,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0,1,0.288236871,1,0,0,0,0,0,0,0,1,0.5,1,0.0417,0.0676,0.1048,0.1124
0.122972711,0.04,0.772277228,0.052631579,0.08,0.363636364,0.068446139,0.136363636,0.079743681,0.3482,0.329747351,0.467726848,0,1,0.666666667,0.875,1,0.83423913,0.692206942,0,0.367346939,0.949936799,0,0,1,0,0,0,0,0,0,0,0.888888889,0.1382,0.306,0.5537,0.7161
0.76853988,0.4,0.614554455,0.315789474,0.44,1,0.424213537,0.795454545,0.237095052,0.02,0.381418093,0.507951356,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,0.5,0.15,0.030643123,0,0,0,0,1,0,0,0,0,0,0.888888889,0.9405,0.9832,1,1
0.081191547,0.32,0.534653465,0,0.16,0,0.09056244,0.079545455,0.107155571,0.74,0.241238794,0.09354537,0.029902179,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.234693878,0.068947026,0,1,0,0,0,0,0,1,0,0.25,0.555555556,0.5577,0.6864,0.7525,0.1651
0.193915024,0.576666667,0.396039604,0.052631579,0.2,0.227272727,0.187797903,0.193181818,0.200783197,0.3482,0.242868786,0.67909261,0.20042241,0.022376598,0.166666667,0.125,0.037037037,0.135597826,0.111329404,0.5,0.489795918,0.375378251,0,0,0,0,1,0,0,0,0,0,1,0.9515,0.956,0.947,0.9319
0.16549873,0.816666667,0.485148515,0.052631579,0.12,0.045454545,0.130409914,0.181818182,0.196155215,0.58,0.228198859,0.460243218,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.489795918,0.001915195,0,0,0,0,0,0,0,1,0,0.25,0.888888889,0.1126,0.6446,0.8372,0.8726
0.092265162,0.4,0.633663366,0,0.08,0,0.070352717,0.102272727,0.149519402,0.324,0.372453138,0.070159027,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,0.5,0.183673469,0.011491171,0,0,0,0,0,0,0,1,0,0.5,0.888888889,0.1347,0.1689,0.1712,0.1775
0.159170613,0.34,0.594059406,0.052631579,0.24,0.136363636,0.152335558,0.147727273,0.151655393,0.24,0.361043195,0.818521983,0.080591374,0.24651646,0.166666667,0.375,0.111111111,0.391304348,0.283562541,1,0.234693878,0.758417283,0,0,0,0,0,1,0,0,0,0.5,0.444444444,0.0061,0.0185,0.0356,0.0469
0.148948148,1,0.574257426,0.105263158,0.2,0.363636364,0.165109628,0.159090909,0.126735493,0.26,0.330888346,0.664172123,1,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.693877551,0.068947026,0,0,1,0,0,0,0,0,0,0.5,0.888888889,0.1175,0.5929,0.6632,0.918
0.414481838,0.367333333,0.821782178,0,0.32,0.5,0.180171592,0.409090909,0.34496262,0.24,0.386308068,0.48222638,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,1,0.387755102,0.183858735,0,0,1,0,0,0,0,0,0,0.5,0.888888889,0.1782,0.494,0.8021,0.91
0.188360894,0.23,0.564356436,0.052631579,0.28,0.409090909,0.216396568,0.193181818,0.208259167,0.32,0.313773431,0.552385407,0.01300578,0.755498442,0,0.75,0.444444444,1,0.404715128,0,0.081632653,0.015321561,1,0,0,1,0,0,0,0,0,0.5,0.444444444,0.2418,0.5586,0.8346,0.9924
0.059108883,0.126666667,0.564356436,0.052631579,0.08,0.181818182,0.091325071,0.068181818,0.064079744,0.48,0.30399348,0.480823199,0.268563806,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.081632653,0.088098977,1,0,1,0,0,0,0,0,0,0,0.444444444,0.0775,0.392,0.6981,0.7987
0.159170613,0.34,0.594059406,0.052631579,0.24,0.136363636,0.152335558,0.147727273,0.151655393,0.24,0.361043195,0.818521983,0.080591374,0.24651646,0.166666667,0.375,0.111111111,0.391304348,0.283562541,1,0.234693878,0.758417283,0,0,0,0,0,0,0,1,0,0.5,0.444444444,0.0685,0.1964,0.2485,0.2021
0.033977509,0,0.663366337,0.052631579,0,0,0.026120114,0.034090909,0.060519758,0.34,0.377343113,0.67909261,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.489795918,0.183858735,1,0,0,0,1,0,0,0,0,0,0.444444444,0.0589,0.0764,0.1049,0.2098
0.033125572,0.21,0.534653465,0.105263158,0.04,0.181818182,0.071306006,0.034090909,0.024563902,0.52,0.349633252,0.61131899,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.183673469,0.183858735,0,0,0,0,0,0,0,1,0,0.2,1,0.3162,0.5423,0.6856,0.8586
0.137775325,0.313333333,0.683168317,0.105263158,0.16,0.318181818,0.131744519,0.113636364,0.09255963,0.18,0.433577832,0.519176801,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0.5,0.795918367,0.375378251,0,0,0,0,0,0,0,0,1,0,0.888888889,0.0978,0.243,0.4355,0.5522
0.29249413,0.371523333,0.920792079,0,0.2,0.590909091,0.136129647,0.295454545,0.23994304,0.3482,0.600651997,0.689429373,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.285714286,0.279618493,0,0,0,1,0,0,0,0,0,0.5,1,0.6223,0.9041,1,1
0.178954935,0.193333333,0.673267327,0.157894737,0.16,0.454545455,0.131935176,0.193181818,0.127091492,0.22,0.284433578,0.664172123,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.030612245,0.088098977,0,0,0,0,1,0,0,0,0,0,0.166666667,0.1772,0.462,0.727,0.8159
0.059108883,0.126666667,0.564356436,0.052631579,0.08,0.181818182,0.091325071,0.068181818,0.064079744,0.48,0.30399348,0.480823199,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.489795918,0.183858735,1,0,0,0,0,0,0,1,0,0,1,0.1238,0.1912,0.2961,0.4701
0.148948148,1,0.574257426,0.105263158,0.2,0.363636364,0.165109628,0.159090909,0.126735493,0.26,0.330888346,0.664172123,0.01300578,0.755498442,0,0.75,0.444444444,1,0.404715128,0.5,0.693877551,0.068947026,0,0,1,0,0,0,0,0,0,0.5,0.888888889,0.1432,0.7034,0.9946,0.9658
0.148948148,1,0.574257426,0.105263158,0.2,0.363636364,0.165109628,0.159090909,0.126735493,0.26,0.330888346,0.664172123,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.693877551,0.068947026,0,0,1,0,0,0,0,0,0,0.5,0.888888889,0.1983,0.593,0.6559,0.6935
0.24785244,0.376666667,0.722772277,0.157894737,0.16,0.363636364,0.220209724,0.227272727,0.211819153,0.14,0.34392828,0.501403181,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.316326531,0.068947026,1,0,0,0,0,0,0,0,1,0.5,0.888888889,0.0065,0.0054,0.0246,0.0963
0.081191547,0.32,0.534653465,0,0.16,0,0.09056244,0.079545455,0.107155571,0.74,0.241238794,0.09354537,0.029902179,0.10987033,0,0,0.037037037,0.309782609,0,0.5,1,0.068947026,0,1,0,0,0,0,0,1,0,0.25,0.555555556,0.0556,0.134,0.2319,0.3355
0.084635517,0.496666667,0.475247525,0.105263158,0.08,0.045454545,0.105243089,0.079545455,0.091135635,0.52,0.199674002,0.795603368,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,1,0.071428571,0.068947026,0,0,0,0,0,0,0,1,0,0,1,0.0224,0.0481,0.0729,0.1034
0.084635517,0.496666667,0.475247525,0.105263158,0.08,0.045454545,0.105243089,0.079545455,0.091135635,0.52,0.199674002,0.795603368,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.071428571,0.068947026,0,0,0,0,0,0,0,1,0,0,1,0.0357,0.0758,0.1093,0.1487
0.244637596,0.72,0.752475248,0.105263158,0.24,0.318181818,0.178265014,0.227272727,0.22748309,0,0.439282804,0.634705332,0.074477546,0.277919816,0.166666667,0.375,0.148148148,0.418478261,0.283562541,0.5,0.387755102,0.015321561,0,0,0,0,1,0,0,0,0,0.25,0.888888889,0.0771,0.1838,0.2614,0.3415
0.13953904,0.423333333,0.633663366,0.052631579,0.16,0.318181818,0.166062917,0.136363636,0.112139551,0.24,0.294213529,0.610851263,1,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.316326531,0.107250929,0,0,0,0,0,0,0,1,0,0,0.888888889,0.2729,0.279,0.2702,0.264
0.234500168,0.553666667,0.752475248,0.052631579,0.08,0.318181818,0.071115348,0.238636364,0.168031328,0.08,0.397718011,0.704396632,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,1,0.081632653,0.758417283,0,0,0,1,0,0,0,0,0,0,0.555555556,0.8976,0.9752,0.9774,0.9789
0.16549873,0.816666667,0.485148515,0.052631579,0.12,0.045454545,0.130409914,0.181818182,0.196155215,0.58,0.228198859,0.460243218,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,1,0.489795918,0.030643123,0,0,0,0,0,0,0,1,0,0.25,0.888888889,0.3039,0.9185,1,0.928
