MW_API,melting.point_API,XLogP3_API,Hydrogen.Bond.Donor.Count_API,Hydrogen.Bond.Acceptor.Count_API,Rotatable.Bond.Count_API,Topological.Polar.Surface.Area_API,Heavy.Atom.Count_API,Complexity_API,logS_API,logP_API,Pka,N.of.repeat.units_polymer,Monomer.Weight_polymer,Hydrogen.Bond.Donor.Count_polymer,Hydrogen.Bond.Acceptor.Count_polymer,Rotatable.Bond.Count_polymer,Complexity_polymer,Topological.Polar.Surface.Area_polymer,technich,Drug.loading.ratio,Dose.mg.,dissolution.method,surfactant,pH.1.2_simulated.gastric.fluid,pH.4.5_buffer.solution,pH.6.8_PBS,pH.6.5_FaSSIF,pH.6.8_SIF,water,pH.7.4_PBS,rotation.speed.rpm.,volume.ml,X5min,X15min,X30min,X60min
0.150776429,0.371523333,0.683168317,0.052631579,0.24,0.136363636,0.10600572,0.136363636,0.136703453,0.3482,0.329747351,0.67909261,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,1,0.387755102,0.758417283,0,0,0,1,0,0,0,0,0,0,1,0.1858,0.4561,0.5988,0.737
0.315957847,0.09,0.207920792,0.421052632,0.52,0.272727273,0.416587226,0.318181818,0.260946956,0.78,0,0.669317119,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.234693878,0.088098977,1,0,0,0,0,0,0,1,0,0,0.888888889,0.0171,0.0795,0.5931,0.8945
0.491935725,0.233333333,0.524752475,0.157894737,0.44,0.318181818,0.326978074,0.5,0.473122108,0.16,0.295843521,0.765201123,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,1,0.234693878,0.011491171,0,0,0,1,0,0,0,0,0,0,0.888888889,0.2133,0.7755,0.9789,0.9712
0.178954935,0.193333333,0.673267327,0.157894737,0.16,0.454545455,0.131935176,0.193181818,0.127091492,0.22,0.284433578,0.664172123,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.183673469,0.088098977,0,0,0,0,1,0,0,0,0,0,0.166666667,0.0261,0.0974,0.1902,0.2855
0.24785244,0.376666667,0.722772277,0.157894737,0.16,0.363636364,0.220209724,0.227272727,0.211819153,0.14,0.34392828,0.501403181,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,0,0.489795918,0.068947026,1,0,0,0,0,0,0,0,1,0.5,0.888888889,0.0025,0.0135,0.0475,0.1502
0.014960875,0.073333333,0.396039604,0.105263158,0.12,0.227272727,0.099904671,0.011363636,0,1,0.097799511,0.936389149,0.145953757,0.277904144,0.166666667,0.125,0.037037037,0.135597826,0.111329404,0,0.132653061,0.135978856,0,0,1,0,0,0,0,0,0,0,0.888888889,0.01,0.0322,0.052,0.084
0.168246662,0.436666667,0.614554455,0.105263158,0.16,0.318181818,0.166062917,0.147727273,0.112139551,0.26,0.315403423,0.610851263,0,1,0.666666667,0.875,1,0.83423913,0.692206942,1,0.15,0.049795074,0,0,1,0,0,0,0,0,0,0.25,0.888888889,0.6363,0.7604,0.8832,0.9791
0.059108883,0.126666667,0.564356436,0.052631579,0.08,0.181818182,0.091325071,0.068181818,0.064079744,0.48,0.30399348,0.480823199,0.268563806,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.081632653,0.088098977,1,0,1,0,0,0,0,0,0,0,0.444444444,0.044,0.3144,0.6603,0.7652
0.051215468,0.18,0.673267327,0.052631579,0.08,0.136363636,0.058722593,0.056818182,0.048059808,0.42,0.326813366,0.506080449,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.234693878,0.107250929,1,1,0,0,0,0,0,1,0,0.5,0.888888889,0.0034,0.0648,0.0917,0.1131
0.143444411,0.66,0.217821782,0.052631579,0.28,0.090909091,0.12735939,0.147727273,0.171947312,0.74,0.088834556,0.554256314,0.007003112,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.693877551,0.375378251,0,0,0,0,0,0,0,1,0,0.5,1,0.0025,0.0115,0.0192,0.0512
0.149713475,0.406666667,0.534653465,0.052631579,0.28,0.227272727,0.153670162,0.136363636,0.117123532,0.58,0.267318663,0.712815716,0.057914629,0.10987033,0,0,0.037037037,0.309782609,0,1,0.183673469,0.030643123,1,0,0,0,0,0,0,0,1,0.5,0.888888889,0.8534,0.9073,0.875,0.8728
0.24785244,0.376666667,0.722772277,0.157894737,0.16,0.363636364,0.220209724,0.227272727,0.211819153,0.14,0.34392828,0.501403181,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.316326531,0.068947026,1,0,0,0,0,0,0,0,1,0.5,0.888888889,0.0281,0.223,0.5609,0.7068
0.76853988,0.4,0.614554455,0.315789474,0.44,1,0.424213537,0.795454545,0.237095052,0.02,0.381418093,0.507951356,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,0.5,0.489795918,0.030643123,0,1,1,0,0,0,0,0,0,0,0.888888889,0.1188,0.3383,0.6224,0.9127
0,0.27,0.415841584,0.052631579,0.04,0.136363636,0.060629171,0,0.003915984,0.82,0.167889161,1,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.081632653,0.758417283,1,0,0,0,0,0,0,0,1,0.5,1,0.0307,0.1856,0.5127,0.6375
0.119780701,0.473333333,0.564356436,0.105263158,0.2,0.090909091,0.193517636,0.113636364,0.163759345,0.54,0.215158924,0.521983162,0.029902179,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.183673469,0.030643123,0,0,1,0,0,0,0,0,0,0,0.444444444,0.9871,0.9908,1,1
0.414481838,0.367333333,0.821782178,0,0.32,0.5,0.180171592,0.409090909,0.34496262,0.24,0.386308068,0.48222638,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,1,0.387755102,0.183858735,0,0,1,0,0,0,0,0,0,0.5,0.888888889,0.1782,0.494,0.8021,0.91
0.081191547,0.32,0.534653465,0,0.16,0,0.09056244,0.079545455,0.107155571,0.74,0.241238794,0.09354537,0.029902179,0.10987033,0,0,0.037037037,0.309782609,0,0.5,0.316326531,0.068947026,0,1,0,0,0,0,0,1,0,0.25,0.555555556,0.6247,0.7557,0.847,0.8585
0.104922184,0.366666667,0.732673267,0,0.08,0.227272727,0.048236416,0.102272727,0.060875756,0.26,0.504482478,0.748362956,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.489795918,0.107250929,0,0,0,0,0,0,0,0,1,0,0.222222222,0.5736,0.675,0.825,0.9991
0.150776429,0.371523333,0.683168317,0.052631579,0.24,0.136363636,0.10600572,0.136363636,0.136703453,0.3482,0.329747351,0.67909261,0.03234771,0.302606835,0,0.25,0.111111111,0.489130435,0.172233137,1,0.387755102,0.758417283,0,0,0,1,0,0,0,0,0,0,1,0.197,0.5506,0.7202,0.764
0.494998606,0.586666667,0.415841584,0.263157895,0.52,0.590909091,0.414680648,0.511363636,0.537201851,0.26,0.246943765,0.811973807,0.008337039,0.089689974,0,0.125,0,0.083423913,0.031434185,0.5,0.030612245,0.011491171,0,0,0,0,0,0,0,1,0,0.5,0.888888889,0.045,0.3322,0.8653,0.9821
0.217536215,0.393333333,0.702970297,0.052631579,0.24,0.5,0.160915157,0.227272727,0.232823069,0.16,0.45802771,0,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,0,0.071428571,0.007660781,0,1,0,0,0,0,0,1,0,0,0.444444444,0.1267,0.6215,0.8534,0.9068
0.131578699,0.39,0.524752475,0.052631579,0.24,0.227272727,0.197330791,0.136363636,0.162691349,0.36,0.238793806,0.548643592,0.031680747,0.800244922,0.333333333,0.75,0.592592593,0.2536875,0.618598559,1,0.795918367,0.068947026,1,1,1,0,0,0,0,0,0,0.5,0.888888889,0.1087,0.2268,0.3465,0.5105
0.104075758,0.886666667,0.405940594,0.105263158,0.12,0.136363636,0.153288847,0.090909091,0.099679601,0.484,0.255093725,0.489710009,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.071428571,0.068947026,0,0,0,0,0,0,0,0,1,0.5,0.888888889,0.9716,0.9563,0.9686,0.9714
0.058297888,0.866666667,0.356435644,0.157894737,0.24,0.045454545,0.235462345,0.068181818,0.055535778,0.74,0.134474328,0.589335828,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.183673469,0.068947026,1,0,1,0,0,0,0,0,0,0.5,1,0.03,0.0858,0.1444,0.2489
